J         CT        CP        eta
0.102408  0.091225  0.032264  0.289556
0.114893  0.090468  0.032478  0.320031
0.130891  0.089273  0.032635  0.358043
0.146171  0.088615  0.032935  0.393275
0.167978  0.086396  0.033023  0.439468
0.186111  0.084780  0.033131  0.476247
0.205185  0.082928  0.033219  0.512219
0.222175  0.080791  0.033141  0.541610
0.239162  0.079070  0.033134  0.570717
0.259294  0.076748  0.033071  0.601745
0.276995  0.074478  0.032892  0.627208
0.295030  0.072208  0.032717  0.651154
0.313115  0.069232  0.032193  0.673359
0.329766  0.067286  0.032009  0.693206
0.349429  0.064317  0.031503  0.713401
