J         CT        CP        eta
0.297676  0.071766  0.032321  0.660967
0.315890  0.069376  0.032078  0.683172
0.331753  0.066776  0.031599  0.701075
0.352973  0.063780  0.031130  0.723174
0.372250  0.061418  0.030802  0.742264
0.386944  0.058969  0.030246  0.754411
0.405395  0.056127  0.029580  0.769225
0.422103  0.053704  0.028994  0.781825
0.439406  0.050443  0.028031  0.790750
0.457068  0.047594  0.027216  0.799291
0.473695  0.045012  0.026440  0.806427
0.493313  0.042285  0.025629  0.813925
0.511681  0.039125  0.024485  0.817617
0.529166  0.036434  0.023518  0.819782
0.549101  0.032729  0.022044  0.815243
0.567593  0.029539  0.020662  0.811477
0.584975  0.026431  0.019297  0.801215
0.603352  0.022921  0.017750  0.779108
0.621961  0.019423  0.016203  0.745531
0.640564  0.016045  0.014707  0.698851
0.657135  0.012424  0.012940  0.630937
0.675914  0.009025  0.011144  0.547415
0.693655  0.005375  0.009298  0.400966
0.711058  0.001325  0.007030  0.134023
