J         CT        CP        eta
0.137423  0.081620  0.032336  0.346868
0.167368  0.076931  0.032515  0.395998
0.195647  0.074392  0.032321  0.450314
0.229932  0.072631  0.032488  0.514036
0.259506  0.069718  0.032180  0.562218
0.290030  0.066481  0.031757  0.607158
0.320042  0.063265  0.031394  0.644947
0.348196  0.059831  0.030772  0.677002
0.380161  0.056365  0.030170  0.710242
0.410864  0.052783  0.029372  0.738338
0.440898  0.048216  0.028145  0.755319
0.465178  0.044751  0.027025  0.770281
0.495137  0.040259  0.025607  0.778473
0.527248  0.034362  0.023294  0.777766
0.557857  0.029263  0.021236  0.768711
0.588674  0.022477  0.018053  0.732910
